PLAYER_ID,PLAYER_NAME,TEAM_NAME,TOTAL_XG,GOALS,SHOT_COUNT,XG_PER_SHOT
19z8jmren3eytg7fbuzqv73kl,T. Alexander-Arnold,Liverpool,1.0612715837797273,1,12,0.0884392986483106
dxeju5zcb6j8etdgwq0kweor9,R. Barkley,Chelsea,0.7749583191061441,0,2,0.387479159553072
f3c5u3v9fehl16ztid18lbl5h,H. Saivet,Newcastle United,0.040447763755769,1,1,0.040447763755769
4njl5iqybub0cxbhjh2xbft9l,M. Holgate,Everton,0.6179331603591989,0,6,0.1029888600598664
7y6f63pj7horkzhdzbge02rqh,C. Hudson-Odoi,Chelsea,0.126650843529156,0,2,0.063325421764578
1rz6bw398na1i3t29rop7ikt1,J. Ward,Crystal Palace,0.3209408440957478,0,5,0.0641881688191495
9twvo5p1ge4zfgy5hcu0nsvdh,A. Oxlade-Chamberlain,Arsenal,0.412311813984366,0,9,0.0458124237760406
eczc8ttdfagqliov10cuqeuol,Y. TourÃ©,Manchester City,0.2965306029389153,0,5,0.059306120587783
e9wu8dcamrtj3ftbx3nmhusid,K. Walker,Manchester City,0.6370423301530357,0,13,0.0490032561656181
cpd8prwzxf0rzevtk33fpryt,T. Davies,Everton,1.8356835771431377,2,21,0.0874135036734827
awda32rw2clw0sjemf7rkcel1,C. Eriksen,Tottenham Hotspur,7.27288533498516,10,97,0.0749781993297439
8lst9t1pyjhibrxh7xxl3wn9x,M. Ritchie,Newcastle United,3.728752653762,3,59,0.0631991975213898
66r7rq9kcoyow46ovmhzrtec5,C. Wilson,AFC Bournemouth,7.234167606128115,8,53,0.1364937284175116
f54pd3cld0qkc8ol15bk9ye39,F. FernÃ¡ndez,Swansea City,0.6604918835892423,1,8,0.0825614854486552
57qslvt6x1gbjth2zsy47je1h,P. Jagielka,Everton,0.4244285828050067,0,7,0.0606326546864295
a4qjllaut1bo0ng3x4xu5lq6t,A. Ayew,Swansea City,1.913360656455244,0,13,0.1471815889580956
dxze3b3fsfl814bjcs7q6wcet,V. van Dijk,Liverpool,1.1809314709878198,0,16,0.0738082169367387
20wvh9al53baedfzbzykpvkyd,S. RondÃ³n,West Bromwich Albion,7.579153819913814,7,79,0.0959386559482761
e40eqhxzzid2chfyxph37tuxh,Ander Herrera,Manchester United,0.6357584873210855,0,12,0.0529798739434237
f482w50k80zbyb2ykh84yijf9,P. Pogba,Manchester United,8.198489456797839,6,76,0.1078748612736557
2o9fqapnt5ixaydwbk9gjtolx,W. Rooney,Everton,4.009949134246914,7,39,0.1028192085704336
c2jqa9vozhqu7x79h5rr2n1ed,K. De Bruyne,Manchester City,5.926633466755165,8,94,0.063049292199523
7sr1pnf0p9xmgu7xx6bbd4w5x,J. GuÃ°mundsÂ­son,Burnley,4.2244506292281905,2,54,0.0782305672079294
5o0h8eeydl8t92qp3ywekqh1x,A. Ramsey,Arsenal,6.130183684022061,7,56,0.1094675657861082
edvzxn33awfs9co0lvwf6giqd,M. Bauer,Stoke City,0.1998964213218657,0,3,0.0666321404406219
7s1q4rd90gi1gwbko34fuvhlh,X. Shaqiri,Stoke City,4.344958128297448,8,68,0.0638964430631977
f2o156jeg6h8pac599kkcqqj9,A. Surman,AFC Bournemouth,1.1544189724376719,2,18,0.0641343873576484
cjdycctu96jilvbvnl7ndh9sl,C. Wood,Burnley,6.3417520196396335,10,39,0.1626090261446059
8qgbxff7xlg0zjtyees7ljljp,R. Lukaku,Manchester United,12.015498530507283,16,85,0.1413588062412621
3u3nhne8cjkoekaom1kqch4gl,J. Ibe,AFC Bournemouth,3.48088149657094,2,54,0.0644607684550174
a1oyrdwf1kyutqivxk753mzmd,J. McArthur,Crystal Palace,4.723477002073731,5,30,0.1574492334024577
9k1ytj3z42ggp14vkn39hiymt,Pedro Obiang,West Ham United,0.676460433971303,2,13,0.0520354179977925
ddqw1wuljbuxfy7dqctje9z9x,G. Bong,Brighton & Hove Albion,0.161847491498204,0,4,0.040461872874551
5awkzgwwh48prwgvxwewuc5hx,O. Giroud,Arsenal,3.046142265584141,4,18,0.1692301258657856
f34582vxl4yv5qqudl09a7umt,A. Lallana,Liverpool,1.3085168428308362,0,11,0.1189560766209851
4n782p6eaok71ai7ecj1jo1jp,D. Gray,Leicester City,2.847325304068633,3,36,0.079092369557462
40lfowf92x7x27rcd6u0d3ahh,B. Sako,Crystal Palace,2.6256523035663655,3,17,0.1544501355039038
e5mjphb52suw89189nyca72z9,E. Choupo-Moting,Stoke City,6.832139992815366,5,60,0.113868999880256
bmk0efhzrno1sgr3g8yijoa8l,A. Ogbonna,West Ham United,0.7465328381603091,1,8,0.0933166047700386
29dp5gmu5xbd04mozwxq5tjh1,J. Gomez,Liverpool,0.3460171203743102,0,5,0.069203424074862
2kbj1c3ne6hz7tollme7p7glx,L. Narsingh,Swansea City,0.7424168595784851,1,9,0.0824907621753872
709tvsyynpz1tx7snba1whwwl,G. SigurÃ°sson,Everton,3.2895446364260126,4,39,0.0843472983698977
albgykp944mwlxs894bx3326t,S. Ireland,Stoke City,0.2740868395683599,0,3,0.0913622798561199
azwg41yu27i0x2qs9omgkng0l,R. Aarons,Newcastle United,0.1050066952190151,0,2,0.0525033476095075
d3hg7lo01o84dsvzud3b6vsnp,O. McBurnie,Swansea City,0.4666283775453104,0,5,0.093325675509062
4nmoo21cjtv94uuzf5folxvx1,W. Morgan,Leicester City,1.6368656296521924,0,13,0.1259127407424763
4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,Southampton,1.831488564865512,2,19,0.0963941349929216
33s2i3l13q92rvo28o3j27etx,A. King,Leicester City,0.5778982230958193,1,6,0.0963163705159698
2ub88jcc3vku6mrnt5fb3oyqd,Renato Sanches,Swansea City,0.5773070677373173,0,12,0.0481089223114431
df7n0r366r77ujzxdedwcomol,Lee Chung-Yong,Crystal Palace,0.0404866692920875,0,1,0.0404866692920875
dbebh5mvzowjrp7h4qvzxvaol,W. Hughes,Watford,1.0078165044032794,2,12,0.0839847087002732
4gxrl3rrfamhtr6as1amupd5h,S. Ward,Burnley,0.3231304824436253,1,6,0.0538550804072708
4upzspmuautmtl51yxe3kva39,Ahmed Hegazy,West Bromwich Albion,1.6918546917964563,2,14,0.1208467636997468
8qezzr83ofw7htqufohg2fwlx,Emerson,Chelsea,0.275147508308909,0,2,0.1375737541544545
6otgu2ezmd171skyysl1ku09h,P. Dummett,Newcastle United,0.3388107248572838,0,4,0.0847026812143209
1tbc8iokapjgu8zjrc1knq28l,J. Bednarek,Southampton,0.1172676025781131,1,1,0.1172676025781131
5ppt0al5l0aqlvu2ygtdo2bx1,G. Cameron,Stoke City,0.3035343132534446,0,5,0.0607068626506889
a1u7272606p7abic3re1p5hhx,J. McCarthy,Everton,0.1004599888339691,0,1,0.1004599888339691
5fe9nui6tiwb7pktbhlwvzl5h,S. McQueen,Southampton,0.0532430082991907,0,1,0.0532430082991907
