ID,MATCH_ID,EVENT_ID,TYPE_ID,PERIOD_ID,TIME_MIN,TIME_SEC,TEAM_ID,X,Y,PLAYER_ID,PLAYER_NAME,PENALTY,HEAD,RIGHT_FOOTED,OTHER_BODY_PART,REGULAR_PLAY,FAST_BREAK,SET_PIECE,FROM_CORNER,FREE_KICK,OWN_GOAL,ASSISTED,LEFT_FOOTED,TARGETED_LOW_LEFT,TARGETED_HIGH_LEFT,TARGETED_LOW_CENTER,TARGETED_HIGH_CENTER,TARGETED_LOW_RIGHT,TARGETED_HIGH_RIGHT,BLOCKED,TARGETED_CLOSE_LEFT,TARGETED_CLOSE_RIGHT,TARGETED_CLOSE_HIGH,TARGETED_CLOSE_LEFT_AND_HIGH,TARGETED_CLOSE_RIGHT_AND_HIGH,PROJECTED_GOAL_MOUTH_Y,PROJECTED_GOAL_MOUTH_Z,DEFLECTION,HIT_WOODWORK,BIG_CHANCE,INDIVIDUAL_CHANCE,HIT_RIGHT_POST,HIT_LEFT_POST,HIT_BAR,OUT_ON_SIDELINE,KICKOFF,FIRST_TOUCH,NOT_ASSISTED,EVENT_TYPE_NAME,TEAM_NAME,IS_GOAL,GOAL_CNT,RESULT,TEAM_SIDE,X_REL_PC,Y_REL_PC,X_REL_M,Y_REL_M,X_REL_M_TEAM,Y_REL_M_TEAM,DISTANCE,DISTANCE_BUCKET,EVENT_COUNT,FOOTBALL_PITCH_CELL,MATCH_DATE
1572471546,a7au583d6boch98v6yib3s416,332,13,1,38,10,,92.3,46.6,,anonymized,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,73.9,1.4,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,away,7.7,-3.4,8.008,-2.312,95.992,-2.312,8.335070965504732,9,1,X8|Y-4,31-MAR-18
1239070077,a7au583d6boch98v6yib3s416,389,15,1,39,5,,81.1,41.9,,anonymized,N,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,52.2,1.3,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,home,18.9,-8.1,19.656,-5.508,19.656,5.508,20.413142825150665,21,1,X18|Y-6,31-MAR-18
1991151441,a7au583d6boch98v6yib3s416,360,15,1,41,12,,90.5,69.3,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,47.7,10.1,Y,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,away,9.5,19.3,9.88,13.124,94.12,13.124,16.42722666794368,17,1,X8|Y12,31-MAR-18
1565260736,a7au583d6boch98v6yib3s416,458,13,2,46,57,,90.7,41.7,,anonymized,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,60.2,4.2,N,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,9.3,-8.3,9.672,-5.644,9.672,5.644,11.198317730802248,12,1,X8|Y-6,31-MAR-18
1847391086,a7au583d6boch98v6yib3s416,459,13,2,47,0,,81.3,53.2,,anonymized,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,13.1,2.8,N,N,N,Y,N,N,N,N,N,Y,N,Shot,anonymized,N,0,Miss,home,18.7,3.2,19.448,2.176,19.448,-2.176,19.569355635789336,20,1,X18|Y2,31-MAR-18
1820551582,a7au583d6boch98v6yib3s416,474,16,2,48,24,,86.9,58.5,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,48.1,0.6,Y,N,N,N,N,N,N,N,N,Y,N,Shot,anonymized,Y,1,Goal,home,13.1,8.5,13.624,5.78,13.624,-5.78,14.799384311517828,15,1,X12|Y4,31-MAR-18
1288572280,a7au583d6boch98v6yib3s416,532,13,2,57,15,,75.1,69.7,,anonymized,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,25.2,8.3,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Miss,home,24.9,19.7,25.896,13.396,25.896,-13.396,29.15571353954487,30,1,X24|Y12,31-MAR-18
2051916602,a7au583d6boch98v6yib3s416,552,15,2,61,52,,76.0,50.7,,anonymized,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,48.3,22.2,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,away,24.0,0.7,24.96,0.476,79.04,0.476,24.964538369455184,25,1,X24|Y0,31-MAR-18
1397258690,a7au583d6boch98v6yib3s416,826,15,2,89,23,,80.6,52.4,,anonymized,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,47.0,1.3,N,N,N,Y,N,N,N,N,N,N,N,Shot,anonymized,N,0,Attempt Saved,away,19.4,2.4,20.176,1.632,83.824,1.632,20.241897144289613,21,1,X20|Y0,31-MAR-18
1410083454,a7au583d6boch98v6yib3s416,834,16,2,91,26,,94.7,48.7,,anonymized,N,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,53.7,14.6,N,N,Y,N,N,N,N,N,N,Y,N,Shot,anonymized,Y,1,Goal,away,5.3,-1.3,5.512,-0.884,98.488,-0.884,5.582436743931811,6,1,X4|Y-2,31-MAR-18
