ID,X,Y,ANGLE,HEAD,FAST_BREAK,PREDICTED_GOAL,XG,FOOTBALL_PITCH_CELL
2013,1,1,147.28520941760323,Y,N,Y,0.9884635424728953,X0|Y0
2012,1,1,147.28520941760323,N,N,Y,0.9942926210980828,X0|Y0
2015,1,1,147.28520941760323,Y,Y,Y,0.9965685796638852,X0|Y0
2014,1,1,147.28520941760323,N,Y,Y,0.998309393395215,X0|Y0
2017,1,3,114.88563209554827,Y,N,Y,0.923153922808658,X0|Y2
2016,1,3,114.88563209554827,N,N,Y,0.9606692571196944,X0|Y2
2019,1,3,114.88563209554827,Y,Y,Y,0.976030127641098,X0|Y2
2018,1,3,114.88563209554827,N,Y,Y,0.9880656445046953,X0|Y2
2021,1,5,30.145859588258904,Y,N,N,0.0658372421009431,X0|Y4
2020,1,5,30.145859588258904,N,N,N,0.1253369665063013,X0|Y4
2023,1,5,30.145859588258904,Y,Y,N,0.1928244726074842,X0|Y4
2022,1,5,30.145859588258904,N,Y,N,0.3269244021869003,X0|Y4
2026,1,7,11.308608008427687,N,Y,N,0.134192954973648,X0|Y6
2025,1,7,11.308608008427687,Y,N,N,0.0219945689769244,X0|Y6
2024,1,7,11.308608008427687,N,N,N,0.043726588587177,X0|Y6
2027,1,7,11.308608008427687,Y,Y,N,0.0708295774975696,X0|Y6
2029,1,9,6.090342632299169,Y,N,N,0.0161247266173918,X0|Y8
2028,1,9,6.090342632299169,N,N,N,0.032248210772563,X0|Y8
2031,1,9,6.090342632299169,Y,Y,N,0.0526281237846459,X0|Y8
2030,1,9,6.090342632299169,N,Y,N,0.1014871419957186,X0|Y8
2221,3,1,98.7898391530692,Y,N,Y,0.8190573063401247,X2|Y0
2220,3,1,98.7898391530692,N,N,Y,0.901996357036618,X2|Y0
2223,3,1,98.7898391530692,Y,Y,Y,0.9388127868165876,X2|Y0
2222,3,1,98.7898391530692,N,Y,Y,0.9689408465076836,X2|Y0
2225,3,3,78.15821411699936,Y,N,Y,0.5643687399565056,X2|Y2
2224,3,3,78.15821411699936,N,N,Y,0.724829157028933,X2|Y2
2227,3,3,78.15821411699936,Y,Y,Y,0.814514550249877,X2|Y2
2226,3,3,78.15821411699936,N,Y,Y,0.8992798140254327,X2|Y2
2229,3,5,46.82415150162944,Y,N,N,0.1623119711512469,X2|Y4
2228,3,5,46.82415150162944,N,N,N,0.2826218403228029,X2|Y4
2231,3,5,46.82415150162944,Y,Y,N,0.3964159294516423,X2|Y4
2230,3,5,46.82415150162944,N,Y,Y,0.571802912824966,X2|Y4
2233,3,7,26.21231969037368,Y,N,N,0.0526008957033611,X2|Y6
2232,3,7,26.21231969037368,N,N,N,0.1014373424283583,X2|Y6
2235,3,7,26.21231969037368,Y,Y,N,0.1583864343993523,X2|Y6
2234,3,7,26.21231969037368,N,Y,N,0.2767478773357194,X2|Y6
2237,3,9,15.995882076080575,Y,N,N,0.0290151602528329,X2|Y8
2236,3,9,15.995882076080575,N,N,N,0.0572777075691709,X2|Y8
2239,3,9,15.995882076080575,Y,Y,N,0.0919722345317129,X2|Y8
2238,3,9,15.995882076080575,N,Y,N,0.1707733791757537,X2|Y8
4319,5,1,70.99718790034674,Y,N,N,0.4562821327918469,X4|Y0
4318,5,1,70.99718790034674,N,N,Y,0.6304884862790037,X4|Y0
4321,5,1,70.99718790034674,Y,Y,Y,0.7398877111618029,X4|Y0
4320,5,1,70.99718790034674,N,Y,Y,0.8525844962404749,X4|Y0
4324,5,3,60.622153094759895,N,Y,Y,0.7550805476447936,X4|Y2
4323,5,3,60.622153094759895,Y,N,N,0.3090762882288929,X4|Y2
4322,5,3,60.622153094759895,N,N,N,0.4763154556124228,X4|Y2
4325,5,3,60.622153094759895,Y,Y,Y,0.60258864718637,X4|Y2
4327,5,5,44.996556198404,Y,N,N,0.1478017450433165,X4|Y4
4326,5,5,44.996556198404,N,N,N,0.2607035160325653,X4|Y4
4383,5,5,44.996556198404,Y,Y,N,0.3702269762930261,X4|Y4
4382,5,5,44.996556198404,N,Y,Y,0.5444793438229569,X4|Y4
4385,5,7,31.128472665895426,Y,N,N,0.0695979785888185,X4|Y6
4384,5,7,31.128472665895426,N,N,N,0.1320161206605407,X4|Y6
4387,5,7,31.128472665895426,Y,Y,N,0.202268334171579,X4|Y6
4386,5,7,31.128472665895426,N,Y,N,0.3401681601444538,X4|Y6
4389,5,9,21.565398651263155,Y,N,N,0.040203484131022,X4|Y8
